Record_Number,Staff_Code,Full_Name,Email_Address,ID_Number,Tax_ID_Number_NPWP,Gender,Position,Division,Job_Title,Employee_Status,Contract_Status,Contract_Period,Shift_Employee,Joining_Date,Start_Date,End_Date,Leave_Vacation_Remaining,Total_Attendance,Total_Tardiness_Minutes,Work_Date,Weekday,Arrival_Time,Departure_Time,Total_Hours_Worked,Work_Location,GPS_Latitude,GPS_Longitude,Distance_to_Office_m,Attendance_Status,Delay_in_Minutes,Timestamp_Recorded,FR_CheckIn_Match_Accuracy_Percent,FR_CheckIn_Photo_Quality_Score,FR_CheckIn_Liveness_Test_Result,FR_CheckIn_Liveness_Confidence_Percent,FR_CheckIn_Total_Scan_Attempts,FR_CheckIn_Unsuccessful_Attempts,FR_CheckIn_Operating_System,FR_CheckIn_Application_Version,FR_CheckIn_Verification_Outcome,FR_CheckIn_Failure_Reason,FR_CheckOut_Match_Accuracy,FR_CheckOut_Verification,Gaji_Pokok_IDR,Potongan_Keterlambatan_IDR,Bonus_Kehadiran_Penuh_IDR,Gaji_Bersih_IDR
ATT053,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/3/2026,Wednesday,8:30:50,17:36:25,9.09,Global Broadcast Centre,-6.2088,106.8456,45,Present,0,2/3/2026 8:30,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT054,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/4/2026,Thursday,8:29:30,17:35:05,9.09,Global Broadcast Centre,-6.2088,106.8456,47,Present,0,2/4/2026 8:29,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT055,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/5/2026,Friday,8:31:20,17:36:55,9.09,Global Broadcast Centre,-6.2089,106.8455,46,Present,1,2/5/2026 8:31,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT056,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/8/2026,Monday,8:34:40,17:40:15,9.09,Global Broadcast Centre,-6.2088,106.8456,45,Present,4,2/8/2026 8:34,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT057,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/9/2026,Tuesday,8:27:25,17:32:00,9.08,Global Broadcast Centre,-6.2088,106.8456,44,Present,0,2/9/2026 8:27,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT058,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/10/2026,Wednesday,8:29:55,17:35:30,9.09,Global Broadcast Centre,-6.2089,106.8455,46,Present,0,2/10/2026 8:29,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT059,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/11/2026,Thursday,8:33:10,17:38:45,9.09,Global Broadcast Centre,-6.2088,106.8456,47,Present,3,2/11/2026 8:33,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT060,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/12/2026,Friday,8:28:40,17:34:15,9.09,Global Broadcast Centre,-6.2088,106.8456,45,Present,0,2/12/2026 8:28,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT061,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/1/2026,Monday,8:25:30,17:28:50,9.06,Global Broadcast Centre,-6.2088,106.8456,42,Present,0,2/1/2026 8:25,99.1,97,Pass,98.5,1,0,Windows 11,v2.5.1,Success,-,98.7,Success,5396761,0,269838,5666599
ATT062,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/2/2026,Tuesday,8:27:15,17:30:35,9.06,Global Broadcast Centre,-6.2089,106.8455,43,Present,0,2/2/2026 8:27,99.3,98,Pass,98.7,1,0,Windows 11,v2.5.1,Success,-,99,Success,5396761,0,269838,5666599
ATT063,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/3/2026,Wednesday,8:26:40,17:29:55,9.05,Global Broadcast Centre,-6.2088,106.8456,41,Present,0,2/3/2026 8:26,,,,,,,,,,,,,5396761,0,269838,5666599
ATT064,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/4/2026,Thursday,8:28:20,17:31:40,9.06,Global Broadcast Centre,-6.2088,106.8456,42,Present,0,2/4/2026 8:28,,,,,,,,,,,,,5396761,0,269838,5666599
ATT065,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/5/2026,Friday,8:29:50,17:33:10,9.06,Global Broadcast Centre,-6.2089,106.8455,44,Present,0,2/5/2026 8:29,,,,,,,,,,,,,5396761,0,269838,5666599
ATT066,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/8/2026,Monday,8:24:15,17:27:35,9.06,Global Broadcast Centre,-6.2088,106.8456,43,Present,0,2/8/2026 8:24,,,,,,,,,,,,,5396761,0,269838,5666599
ATT067,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/9/2026,Tuesday,8:26:50,17:30:10,9.06,Global Broadcast Centre,-6.2088,106.8456,42,Present,0,2/9/2026 8:26,,,,,,,,,,,,,5396761,0,269838,5666599
ATT068,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/10/2026,Wednesday,8:28:30,17:31:50,9.06,Global Broadcast Centre,-6.2089,106.8455,41,Present,0,2/10/2026 8:28,,,,,,,,,,,,,5396761,0,269838,5666599
ATT069,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/11/2026,Thursday,8:27:05,17:30:25,9.06,Global Broadcast Centre,-6.2088,106.8456,43,Present,0,2/11/2026 8:27,,,,,,,,,,,,,5396761,0,269838,5666599
ATT070,EMP007,Edward Hartley,edward.hartley@bbccnn.co.id,3.17E+15,12.345.678.9-007.000,Male,Broadcast Operations Manager,Broadcast Operations,Broadcast Operations Manager,Active,Permanent,2022-07-01 s/d 2025-07-01,Rotating Shift,2/28/2016,7/1/2022,7/1/2025,11,10,0,2/12/2026,Friday,8:29:40,17:33:00,9.06,Global Broadcast Centre,-6.2088,106.8456,44,Present,0,2/12/2026 8:29,,,,,,,,,,,,,5396761,0,269838,5666599
ATT071,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/1/2026,Monday,8:31:25,17:34:50,9.06,Global Broadcast Centre,-6.2088,106.8456,40,Present,1,2/1/2026 8:31,98.9,96,Pass,98.3,1,0,Windows 11,v2.5.1,Success,-,98.5,Success,5396761,2080,269838,5664519
ATT072,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/2/2026,Tuesday,8:28:50,17:32:15,9.06,Global Broadcast Centre,-6.2089,106.8455,39,Present,0,2/2/2026 8:28,99.2,98,Pass,98.6,1,0,Windows 11,v2.5.1,Success,-,98.8,Success,5396761,2080,269838,5664519
ATT073,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/3/2026,Wednesday,8:30:15,17:33:40,9.06,Global Broadcast Centre,-6.2088,106.8456,41,Present,0,2/3/2026 8:30,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT074,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/4/2026,Thursday,8:29:30,17:32:55,9.06,Global Broadcast Centre,-6.2088,106.8456,40,Present,0,2/4/2026 8:29,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT075,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/5/2026,Friday,8:32:40,17:36:05,9.06,Global Broadcast Centre,-6.2089,106.8455,38,Present,2,2/5/2026 8:32,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT076,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/8/2026,Monday,8:27:20,17:30:45,9.06,Global Broadcast Centre,-6.2088,106.8456,39,Present,0,2/8/2026 8:27,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT077,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/9/2026,Tuesday,8:29:05,17:32:30,9.06,Global Broadcast Centre,-6.2088,106.8456,40,Present,0,2/9/2026 8:29,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT078,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/10/2026,Wednesday,8:31:50,17:35:15,9.06,Global Broadcast Centre,-6.2089,106.8455,41,Present,1,2/10/2026 8:31,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT079,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/11/2026,Thursday,8:28:35,17:32:00,9.06,Global Broadcast Centre,-6.2088,106.8456,39,Present,0,2/11/2026 8:28,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT080,EMP008,Sophie Alderton,sophie.alderton@bbccnn.co.id,3.17E+15,12.345.678.9-008.000,Female,Talent Acquisition Specialist,People & Culture,Talent Acquisition Specialist,Active,Contract,2025-02-01 s/d 2027-01-31,Morning (08:00 - 17:00),2/1/2024,2/1/2025,1/31/2027,7,10,4,2/12/2026,Friday,8:30:20,17:33:45,9.06,Global Broadcast Centre,-6.2088,106.8456,38,Present,0,2/12/2026 8:30,,,,,,,,,,,,,5396761,2080,269838,5664519
ATT081,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/1/2026,Monday,8:33:50,17:40:25,9.11,Global Broadcast Centre,-6.2087,106.8457,51,Present,3,2/1/2026 8:33,97.8,91,Pass,96.4,1,0,Android 13,v2.5.1,Success,-,98.2,Success,5396761,5199,269838,5661400
ATT082,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/2/2026,Tuesday,8:29:15,17:35:50,9.11,Global Broadcast Centre,-6.2088,106.8456,49,Present,0,2/2/2026 8:29,98.7,95,Pass,97.8,1,0,Android 13,v2.5.1,Success,-,98.4,Success,5396761,5199,269838,5661400
ATT083,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/3/2026,Wednesday,8:31:40,17:38:15,9.11,Global Broadcast Centre,-6.2089,106.8455,50,Present,1,2/3/2026 8:31,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT084,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/4/2026,Thursday,8:28:05,17:34:40,9.11,Global Broadcast Centre,-6.2088,106.8456,48,Present,0,2/4/2026 8:28,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT085,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/5/2026,Friday,8:32:30,17:39:05,9.11,Global Broadcast Centre,-6.2088,106.8456,47,Present,2,2/5/2026 8:32,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT086,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/8/2026,Monday,8:26:45,17:33:20,9.11,Global Broadcast Centre,-6.2087,106.8457,51,Present,0,2/8/2026 8:26,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT087,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/9/2026,Tuesday,8:30:20,17:36:55,9.11,Global Broadcast Centre,-6.2088,106.8456,49,Present,0,2/9/2026 8:30,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT088,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/10/2026,Wednesday,8:34:55,17:41:30,9.11,Global Broadcast Centre,-6.2089,106.8455,50,Present,4,2/10/2026 8:34,35.8,52,Fail,41.2,2,2,Android 13,v2.5.1,Failed,Multiple failed attempts,,,5396761,5199,269838,5661400
ATT089,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/11/2026,Thursday,8:27:30,17:34:05,9.11,Global Broadcast Centre,-6.2088,106.8456,48,Present,0,2/11/2026 8:27,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT090,EMP009,Marcus Thornton,marcus.thornton@bbccnn.co.id,3.17E+15,12.345.678.9-009.000,Male,Senior Technology Lead,Digital & Technology,Senior Technology Lead,Active,Permanent,2023-10-01 s/d 2026-10-01,Morning (08:00 - 17:00),10/10/2017,10/1/2023,10/1/2026,5,10,10,2/12/2026,Friday,8:29:50,17:36:25,9.11,Global Broadcast Centre,-6.2088,106.8456,47,Present,0,2/12/2026 8:29,,,,,,,,,,,,,5396761,5199,269838,5661400
ATT091,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/1/2026,Monday,8:40:15,17:48:50,9.14,Global Broadcast Centre,-6.2087,106.8457,55,Late,10,2/1/2026 8:40,96.5,87,Pass,94.2,2,1,iOS 17,v2.5.1,Success,-,97.4,Success,5396761,16117,0,5380644
ATT091,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/1/2026,Monday,8:40:15,17:48:50,9.14,Global Broadcast Centre,-6.2087,106.8457,55,Late,10,2/1/2026 8:40,47.5,68,Fail,62.3,1,1,iOS 17,v2.5.1,Failed,Subject was standing too far from the camera,97.4,Success,5396761,16117,0,5380644
ATT092,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/2/2026,Tuesday,8:27:40,17:36:20,9.14,Global Broadcast Centre,-6.2088,106.8456,53,Present,0,2/2/2026 8:27,98.3,93,Pass,97.1,1,0,iOS 17,v2.5.1,Success,-,98,Success,5396761,16117,0,5380644
ATT093,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/3/2026,Wednesday,8:29:25,17:38:05,9.14,Global Broadcast Centre,-6.2089,106.8455,54,Present,0,2/3/2026 8:29,,,,,,,,,,,,,5396761,16117,0,5380644
ATT094,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/4/2026,Thursday,8:31:50,17:40:30,9.14,Global Broadcast Centre,-6.2088,106.8456,52,Present,1,2/4/2026 8:31,,,,,,,,,,,,,5396761,16117,0,5380644
ATT095,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/5/2026,Friday,8:28:15,17:36:55,9.14,Global Broadcast Centre,-6.2088,106.8456,51,Present,0,2/5/2026 8:28,,,,,,,,,,,,,5396761,16117,0,5380644
ATT096,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/8/2026,Monday,8:35:30,17:44:10,9.14,Global Broadcast Centre,-6.2087,106.8457,55,Present,5,2/8/2026 8:35,,,,,,,,,,,,,5396761,16117,0,5380644
ATT097,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/9/2026,Tuesday,8:26:05,17:34:45,9.14,Global Broadcast Centre,-6.2088,106.8456,53,Present,0,2/9/2026 8:26,,,,,,,,,,,,,5396761,16117,0,5380644
ATT098,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/10/2026,Wednesday,8:32:40,17:41:20,9.14,Global Broadcast Centre,-6.2089,106.8455,54,Present,2,2/10/2026 8:32,,,,,,,,,,,,,5396761,16117,0,5380644
ATT099,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/11/2026,Thursday,8:29:55,17:38:35,9.14,Global Broadcast Centre,-6.2088,106.8456,52,Present,0,2/11/2026 8:29,,,,,,,,,,,,,5396761,16117,0,5380644
ATT100,EMP010,Diana Wentworth,diana.wentworth@bbccnn.co.id,3.17E+15,12.345.678.9-010.000,Female,Commercial Director,Audience & Commercial,Commercial Director,Active,Permanent,2022-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),6/1/2015,1/1/2022,12/31/2026,13,11,31,2/12/2026,Friday,8:33:20,17:42:00,9.14,Global Broadcast Centre,-6.2088,106.8456,51,Present,3,2/12/2026 8:33,,,,,,,,,,,,,5396761,16117,0,5380644
